"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"4";"";"C-EUC0805";"C0805";"C2, C3, C4, C5";"CAPACITOR, European symbol";"";
"1";"";"CPOL-EUSMCA";"SMC_A";"C1";"POLARIZED CAPACITOR, European symbol";"";
"1";"";"PINHD-1X20";"1X20";"IC8-1";"PIN HEADER";"";
"2";"";"PINHD-1X3";"1X03";"IC8-2, IC8-3";"PIN HEADER";"";
"1";"";"PINHD-2X12";"2X12";"RAK831";"PIN HEADER";"";
"2";"0.01uF";"C-EUC0805";"C0805";"C7, C10";"CAPACITOR, European symbol";"";
"1";"1000pF 2kv";"C-EUC1206";"C1206";"C9";"CAPACITOR, European symbol";"";
"1";"1K";"R-EU_R0805";"R0805";"R5";"RESISTOR, European symbol";"";
"2";"330R";"R-EU_R0805";"R0805";"R3, R4";"RESISTOR, European symbol";"";
"2";"75R";"R-EU_R0805";"R0805";"R1, R2";"RESISTOR, European symbol";"";
"1";"BAXXDD0XX";"BAXXDD0XX";"HRP5";"U1";"LDO REGULATOR";"";
"1";"DECADE-H1102NL";"DECADE-H1102NL";"DECADE-H1102NL";"U$1";"";"";
"1";"LNK";"LEDSML1206";"SML1206";"LED1";"LED";"";
"1";"NANOPIDUO";"NANOPIDUO";"NANOPIDUO";"U$2";"";"";
"1";"PWR";"LEDSML1206";"SML1206";"LED3";"LED";"";
"1";"RJ45-8PTH";"RJ45-8PTH";"RJ45-8";"J1";"RJ45 Jack";"";
"1";"SPD";"LEDSML1206";"SML1206";"LED2";"LED";"";
"1";"VS-10BQ060-M3/5BT";"DIODE-DO214AA";"DO214AA";"D2";"DIODE";"";
